clip_name,clip_file_extension,clip_duration,clip_location,insert_timestamp
0thFrame,mp4,60.03,/Users/jorge/Desktop/apex_coding_assignment/video_clips/0thFrame.mp4,2023-05-19 15:37:11.939726
60thFrame,mp4,60.03,/Users/jorge/Desktop/apex_coding_assignment/video_clips/60thFrame.mp4,2023-05-19 15:37:19.771714
120thFrame,mp4,60.03,/Users/jorge/Desktop/apex_coding_assignment/video_clips/120thFrame.mp4,2023-05-19 15:37:26.621104
180thFrame,mp4,60.03,/Users/jorge/Desktop/apex_coding_assignment/video_clips/180thFrame.mp4,2023-05-19 15:37:33.263460
240thFrame,mp4,60.03,/Users/jorge/Desktop/apex_coding_assignment/video_clips/240thFrame.mp4,2023-05-19 15:37:40.599925
0thFrame,mp4,60.03,/Users/jorge/Desktop/apex_coding_assignment/video_clips/0thFrame.mp4,2023-05-19 15:56:14.148055
60thFrame,mp4,60.03,/Users/jorge/Desktop/apex_coding_assignment/video_clips/60thFrame.mp4,2023-05-19 15:56:19.942715
120thFrame,mp4,60.03,/Users/jorge/Desktop/apex_coding_assignment/video_clips/120thFrame.mp4,2023-05-19 15:56:25.834621
180thFrame,mp4,60.03,/Users/jorge/Desktop/apex_coding_assignment/video_clips/180thFrame.mp4,2023-05-19 15:56:32.399175
240thFrame,mp4,60.03,/Users/jorge/Desktop/apex_coding_assignment/video_clips/240thFrame.mp4,2023-05-19 15:56:38.658682
